date,timezone,username,tweet,link,nlikes,nretweets,nreplies,hashtags,datetime_,date_dt,time_dt
2022-01-10 07:56:07,+0800,gynaepenang,"@SyedAkramin Jika siasatan mahkamah berlaku, mungkin semua nama warga SPRM pun kantoi sama",https://twitter.com/gynaepenang/status/1480327557861969920,0,0,0,[],2022-01-10 07:56:07,2022-01-10,07:56:07
2022-01-10 07:54:10,+0800,wildanazan,Parok la SPRM ni,https://twitter.com/wildanazan/status/1480327067887489024,0,0,0,[],2022-01-10 07:54:10,2022-01-10,07:54:10
2022-01-10 07:53:14,+0800,FarhanahMel,"@SPRMMalaysia When SPRM think we are still living in 1970s. An era without internet, etc. What a joke.",https://twitter.com/FarhanahMel/status/1480326832192835584,4,1,0,[],2022-01-10 07:53:14,2022-01-10,07:53:14
2022-01-10 07:48:28,+0800,GohMhgoh164,"@LagaCawan Tapi kenapa tidak lapurkan. Kenapa alasan tidak munasabah, adik yg guna akaun saya? Kenapa senyap selama2 ini? Mana integriti seorang yg melawan rasuah jika disyaki rasuah? Mana integriti SPRM bila dalam kes ini support orang sendiri?",https://twitter.com/GohMhgoh164/status/1480325633183911936,18,2,2,[],2022-01-10 07:48:28,2022-01-10,07:48:28
2022-01-10 07:48:23,+0800,KylaliqA,Surat ni nak bgtau ye sprm sucks,https://twitter.com/KylaliqA/status/1480325610589155330,0,0,0,[],2022-01-10 07:48:23,2022-01-10,07:48:23
2022-01-10 07:46:22,+0800,ZieSarah,@khairizulfadhli Sprm 👎👎👎👎👎,https://twitter.com/ZieSarah/status/1480325104097632260,0,0,0,[],2022-01-10 07:46:22,2022-01-10,07:46:22
2022-01-10 07:46:14,+0800,YaiAmran,Jilat ke ni....yg masih mnyokong azam bodoh ni org2 yg bkerja dlm sprm je. Silap2 org yg bkerja dlm tu pun xtahu surat ni wujud. Tahu2 di paksa beri sokongan...HAHAHAHAHAHAHA.  bubar je lah sprm ni..xbrguna utk rkyat! Melingkup Malaysia!,https://twitter.com/YaiAmran/status/1480325069968576515,1,0,0,[],2022-01-10 07:46:14,2022-01-10,07:46:14
2022-01-10 07:45:59,+0800,huda_hadi1,The rotten SPRM should be fully revamped! @SPRMMalaysia has no integrity and credibility left at all!,https://twitter.com/huda_hadi1/status/1480325008509779968,0,0,0,[],2022-01-10 07:45:59,2022-01-10,07:45:59
2022-01-10 07:45:56,+0800,GohMhgoh164,"@malaysiakini You can said it is politically motivated.  But refusal to investigate thoroughly &amp; suing a whistleblower is only going to make the situation worse. The integrity of SPRM is at risk.  Whole Malaysia is watching, whole world is watching. @IsmailSabri60 @SPRMMalaysia",https://twitter.com/GohMhgoh164/status/1480324993619689473,2,1,0,[],2022-01-10 07:45:56,2022-01-10,07:45:56
2022-01-10 07:44:23,+0800,shahrulishtiaq,@nungsari Warga SPRM ni mabuk ketum ke?,https://twitter.com/shahrulishtiaq/status/1480324604073701377,7,0,0,[],2022-01-10 07:44:23,2022-01-10,07:44:23
