datetime_,date_,time_,username,tweet,link,nlikes,nretweets,nreplies,hashtags,TweetPostedTime_hour,TweetPostedTime_date,cleaned_tweets,predict,score
2022-01-10 07:56:07,2022-01-10,07:56:07,gynaepenang,"@SyedAkramin Jika siasatan mahkamah berlaku, mungkin semua nama warga SPRM pun kantoi sama",https://twitter.com/gynaepenang/status/1480327557861969920,0,0,0,[],7,2022-01-10,jika siasatan mahkamah berlaku mungkin semua nama warga sprm pun kantoi sama,negative,0.8947196178368495
2022-01-10 07:54:10,2022-01-10,07:54:10,wildanazan,Parok la SPRM ni,https://twitter.com/wildanazan/status/1480327067887489024,0,0,0,[],7,2022-01-10,parok la sprm ni,negative,0.5630701086821208
2022-01-10 07:53:14,2022-01-10,07:53:14,FarhanahMel,"@SPRMMalaysia When SPRM think we are still living in 1970s. An era without internet, etc. What a joke.",https://twitter.com/FarhanahMel/status/1480326832192835584,4,1,0,[],7,2022-01-10,sprm think living era internet etc joke,neutral,0.7535331477691242
2022-01-10 07:48:28,2022-01-10,07:48:28,GohMhgoh164,"@LagaCawan Tapi kenapa tidak lapurkan. Kenapa alasan tidak munasabah, adik yg guna akaun saya? Kenapa senyap selama2 ini? Mana integriti seorang yg melawan rasuah jika disyaki rasuah? Mana integriti SPRM bila dalam kes ini support orang sendiri?",https://twitter.com/GohMhgoh164/status/1480325633183911936,18,2,2,[],7,2022-01-10,tapi kenapa tidak lapurkan kenapa alasan tidak munasabah adik yg guna akaun saya kenapa senyap selama ini mana integriti seorang yg melawan rasuah jika disyaki rasuah mana integriti sprm bila dalam kes ini support orang sendiri,negative,0.9537638606601984
2022-01-10 07:46:22,2022-01-10,07:46:22,ZieSarah,@khairizulfadhli Sprm 👎👎👎👎👎,https://twitter.com/ZieSarah/status/1480325104097632260,0,0,0,[],7,2022-01-10,sprm,neutral,0.547922229564211
2022-01-10 07:46:14,2022-01-10,07:46:14,YaiAmran,Jilat ke ni....yg masih mnyokong azam bodoh ni org2 yg bkerja dlm sprm je. Silap2 org yg bkerja dlm tu pun xtahu surat ni wujud. Tahu2 di paksa beri sokongan...HAHAHAHAHAHAHA.  bubar je lah sprm ni..xbrguna utk rkyat! Melingkup Malaysia!,https://twitter.com/YaiAmran/status/1480325069968576515,1,0,0,[],7,2022-01-10,jilat ke ni yg masih mnyokong azam bodoh ni org yg bkerja dlm sprm je silap org yg bkerja dlm tu pun xtahu surat ni wujud tahu di paksa beri sokongan hahahahahahaha bubar je lah sprm ni xbrguna utk rkyat melingkup malaysia,negative,0.7996784108317048
2022-01-10 07:45:59,2022-01-10,07:45:59,huda_hadi1,The rotten SPRM should be fully revamped! @SPRMMalaysia has no integrity and credibility left at all!,https://twitter.com/huda_hadi1/status/1480325008509779968,0,0,0,[],7,2022-01-10,rotten sprm fully revamped integrity credibility left,neutral,0.8464922702700841
2022-01-10 07:45:56,2022-01-10,07:45:56,GohMhgoh164,"@malaysiakini You can said it is politically motivated.  But refusal to investigate thoroughly &amp; suing a whistleblower is only going to make the situation worse. The integrity of SPRM is at risk.  Whole Malaysia is watching, whole world is watching. @IsmailSabri60 @SPRMMalaysia",https://twitter.com/GohMhgoh164/status/1480324993619689473,2,1,0,[],7,2022-01-10,said politically motivated refusal investigate thoroughly amp suing whistleblower going situation worse integrity sprm risk malaysia watching world watching,neutral,0.8873557506229344
2022-01-10 07:44:23,2022-01-10,07:44:23,shahrulishtiaq,@nungsari Warga SPRM ni mabuk ketum ke?,https://twitter.com/shahrulishtiaq/status/1480324604073701377,7,0,0,[],7,2022-01-10,warga sprm ni mabuk ketum ke,negative,0.9355306778766881
2022-01-10 07:43:25,2022-01-10,07:43:25,LaiKH5,@ES_EdisiKhas I am keen to see how SPRM reacts after seeing this news😆😆😆,https://twitter.com/LaiKH5/status/1480324359747092480,2,0,1,[],7,2022-01-10,keen sprm reacts seeing news,neutral,0.7566416263439983
2022-01-10 07:43:21,2022-01-10,07:43:21,NJelitasieka,takyah lah turun mengundi pasni. buang masa je. dalam SPRM sendiri pn…. hmmm.. mengarut gila pemimpin Malaysia sekarang.,https://twitter.com/NJelitasieka/status/1480324342533685250,0,0,0,[],7,2022-01-10,takyah lah turun mengundi pasni buang masa je dalam sprm sendiri pn hmmm mengarut gila pemimpin malaysia sekarang,negative,0.9707279693979525
2022-01-10 07:43:03,2022-01-10,07:43:03,Youniais123,@SPRMMalaysia Sprm pundek,https://twitter.com/Youniais123/status/1480324267224956931,0,0,0,[],7,2022-01-10,sprm pundek,negative,0.8209712011159227
2022-01-10 07:41:22,2022-01-10,07:41:22,HimlyAldrin,@nungsari Sudah sampai masa untuk dilakukan pembersihan dalam SPRM. Dah mula tercium bau mereput.,https://twitter.com/HimlyAldrin/status/1480323843419828226,137,21,0,[],7,2022-01-10,sudah sampai masa untuk dilakukan pembersihan dalam sprm dah mula tercium bau mereput,negative,0.9136798366663514
2022-01-10 07:41:13,2022-01-10,07:41:13,Noh52354553,@mkini_bm Kit Siang ni nak burukkan SPRM sebab isu LGE &amp; menantu dia je. Ahli politik semua tak boleh pakai.,https://twitter.com/Noh52354553/status/1480323809018187776,0,0,0,[],7,2022-01-10,kit siang ni nak burukkan sprm sebab isu lge amp menantu dia je ahli politik semua tak boleh pakai,negative,0.936336646927665
2022-01-10 07:37:26,2022-01-10,07:37:26,ZieSarah,@maszlee SPRM siasat SPRM 🤣🤣🤣,https://twitter.com/ZieSarah/status/1480322856529457159,0,0,0,[],7,2022-01-10,sprm siasat sprm,negative,0.6258234564372069
2022-01-10 07:35:43,2022-01-10,07:35:43,Tuahseven7,@ES_EdisiKhas Nanti sc keluar kenyataan berpuas hati dgn kenyataan  azam dan sprm pn tak mengambil tindakan lanjut kes sc. Mereka pun hidup bahagia manakala rakyat terus cuba didiamkan,https://twitter.com/Tuahseven7/status/1480322421752164352,40,2,0,[],7,2022-01-10,nanti sc keluar kenyataan berpuas hati dgn kenyataan azam dan sprm pn tak mengambil tindakan lanjut kes sc mereka pun hidup bahagia manakala rakyat terus cuba didiamkan,neutral,0.9107761615435537
2022-01-10 07:35:21,2022-01-10,07:35:21,AditRahim,"From a Comms perspective, SPRM should have taken a neutral stand, which would have allowed them space to fortify their support for the leadership post investigation.  In doing this, they have set the narrative that they are ready to be associated with results of the investigation",https://twitter.com/AditRahim/status/1480322332887437314,81,43,5,[],7,2022-01-10,comms perspective sprm taken neutral stand allowed space fortify support leadership post investigation set narrative ready associated results investigation,neutral,0.5229334311764648
2022-01-10 07:33:00,2022-01-10,07:33:00,mahdziribrahim,"Ini belajar dari Boss ku. I help u..U help me.  Org politik pun tak berani bersuara sgt. Sbb, fail mereka pun silap2 ada dlm poket SPRM.  Rasuah dah jadi ekosistem. Saling terkait dan memerlukan. 1 sangkut, 1 ekosistem sangkut.",https://twitter.com/mahdziribrahim/status/1480321739175313409,0,0,0,[],7,2022-01-10,ini belajar dari boss ku help help org politik pun tak berani bersuara sgt sbb fail mereka pun silap ada dlm poket sprm rasuah dah jadi ekosistem saling terkait dan memerlukan sangkut ekosistem sangkut,negative,0.9861714178767349
